id,notary_id,incident_type,description,severity,status,resolved_at
1,7,POLICY_VIOLATION,Customer reports regarding unauthorized fee charges.,CRITICAL,UNDER_REVIEW,
2,15,CUSTOMER_COMPLAINT,Customers complain about unprofessional service.,HIGH,OPEN,
3,1,LATE_ARRIVAL,"I arrived 15 minutes late due to traffic, but I had notified them in advance.",LOW,DISMISSED,2022-08-15 10:30:00
4,3,DOCUMENT_ERROR,Missing signature on page 4 of the power of attorney agreement.,MEDIUM,RESOLVED,2023-05-20 14:00:00
5,15,NO_SHOW,Do not show up at the notary office without prior notice.,CRITICAL,UNDER_REVIEW,
6,8,COMPLIANCE_ISSUE,The notarized stamp is unclear and needs to be redone.,MEDIUM,RESOLVED,2023-01-10 16:45:00
7,10,SYSTEM_ISSUE,System error: Unable to load e-Notary documents.,LOW,RESOLVED,2022-11-05 09:15:00
8,7,POLICY_VIOLATION,Failing to carefully check the ID of the signatory.,CRITICAL,OPEN,
9,18,CUSTOMER_COMPLAINT,The client was dissatisfied with the notary's attire.,LOW,DISMISSED,2023-08-20 11:00:00
10,12,DOCUMENT_ERROR,Incorrect date entered on the certificate,MEDIUM,RESOLVED,2024-03-05 15:30:00
11,4,LATE_ARRIVAL,Arriving 30 minutes late for the appointment,LOW,RESOLVED,2022-04-12 10:00:00
12,6,COMPLIANCE_ISSUE,State license renewal delayed,HIGH,OPEN,
13,13,SYSTEM_ISSUE,Forgot the portal login password,LOW,RESOLVED,2020-05-18 08:30:00
14,9,CUSTOMER_COMPLAINT,Client complains about overly complicated explanation process,LOW,DISMISSED,2024-01-20 14:20:00
15,2,DOCUMENT_ERROR,Forgot to bring the embosser,MEDIUM,RESOLVED,2022-07-11 09:45:00
16,11,LATE_ARRIVAL,Traffic jam due to a highway accident,LOW,RESOLVED,2021-09-15 11:10:00
17,19,COMPLIANCE_ISSUE,Notary journal lacks detail in entries,MEDIUM,RESOLVED,2020-10-05 16:00:00
18,5,CUSTOMER_COMPLAINT,Incorrectly calculated travel service fee,MEDIUM,RESOLVED,2021-12-02 13:30:00
19,16,DOCUMENT_ERROR,Mixed documents between two clients,HIGH,UNDER_REVIEW,
20,14,SYSTEM_ISSUE,Tablet runs out of battery during the signing session,LOW,DISMISSED,2024-02-15 10:05:00
