id,notary_id,policy_number,provider_name,coverage_amount,effective_date,expiration_date,file_url
1,1,POL1001,StateFarm,100000,2024-01-01,2025-01-01,https://files.com/ins_1.pdf
2,2,POL1002,Allianz,150000,2024-02-01,2025-02-01,https://files.com/ins_2.pdf
3,3,POL1003,Geico,120000,2024-03-01,2025-03-01,https://files.com/ins_3.pdf
4,4,POL1004,StateFarm,200000,2024-01-15,2025-01-15,https://files.com/ins_4.pdf
5,5,POL1005,Allianz,80000,2024-04-01,2025-04-01,https://files.com/ins_5.pdf
6,6,POL1006,Geico,130000,2024-02-10,2025-02-10,https://files.com/ins_6.pdf
7,7,POL1007,StateFarm,110000,2024-05-01,2025-05-01,https://files.com/ins_7.pdf
8,8,POL1008,Allianz,90000,2024-06-01,2025-06-01,https://files.com/ins_8.pdf
9,9,POL1009,Geico,140000,2024-03-15,2025-03-15,https://files.com/ins_9.pdf
10,10,POL1010,StateFarm,160000,2024-01-20,2025-01-20,https://files.com/ins_10.pdf
11,11,POL1011,Allianz,100000,2024-02-25,2025-02-25,https://files.com/ins_11.pdf
12,12,POL1012,Geico,180000,2024-03-10,2025-03-10,https://files.com/ins_12.pdf
13,13,POL1013,StateFarm,170000,2024-04-05,2025-04-05,https://files.com/ins_13.pdf
14,14,POL1014,Allianz,95000,2024-05-15,2025-05-15,https://files.com/ins_14.pdf
15,15,POL1015,Geico,200000,2024-06-10,2025-06-10,https://files.com/ins_15.pdf
16,16,POL1016,StateFarm,125000,2024-01-30,2025-01-30,https://files.com/ins_16.pdf
17,17,POL1017,Allianz,135000,2024-02-18,2025-02-18,https://files.com/ins_17.pdf
18,18,POL1018,Geico,155000,2024-03-22,2025-03-22,https://files.com/ins_18.pdf
19,19,POL1019,StateFarm,145000,2024-04-12,2025-04-12,https://files.com/ins_19.pdf
20,20,POL1020,Allianz,115000,2024-05-20,2025-05-20,https://files.com/ins_20.pdf
